task,streak_day,coin,xp
feed,0,20,30
feed,1,25,35
feed,3,30,40
feed,6,35,45
feed,10,40,50
feed,15,45,55
feed,21,60,70
play,0,20,30
play,1,25,35
play,3,30,40
play,6,35,45
play,10,40,50
play,15,45,55
play,21,60,70
groom,0,20,30
groom,1,25,35
groom,3,30,40
groom,6,35,45
groom,10,40,50
groom,15,45,55
groom,21,60,70
lessons,0,20,30
lessons,1,25,35
lessons,3,30,40
lessons,6,35,45
lessons,10,40,50
lessons,15,45,55
lessons,21,60,70
words,0,20,30
words,1,25,35
words,3,30,40
words,6,35,45
words,10,40,50
words,15,45,55
words,21,60,70
