Level,XP
1,100
2,240
3,460
4,750
5,1110
6,1550
7,2070
8,2660
9,3320
10,4060
11,4880
12,5770
13,6730
14,7770
15,8890
16,10080
17,11340
18,12680
19,14100
20,15590
21,17150
22,18790
23,20510
24,22300
25,24160
26,26100
27,28120
28,30210
29,32370
30,34610
31,36930
32,39320
33,41780
34,44320
35,46940
36,49630
37,52390
38,55230
39,58150
40,61140
41,64200
42,67340
43,70560
44,73850
45,77210
46,80650
47,84170
48,87760
49,91420
50,95160
51,98980
52,102870
53,106830
54,110870
55,114990
56,119180
57,123440
58,127780
59,132200
60,136690
61,141250
62,145890
63,150610
64,155400
65,160260
66,165200
67,170220
68,175310
69,180470
70,185710
71,191030
72,196420
73,201880
74,207420
75,213040
76,218730
77,224490
78,230330
79,236250
80,242240
81,248300
82,254440
83,260660
84,266950
85,273310
86,279750
87,286270
88,292860
89,299520
90,306260
91,313080
92,319970
93,326930
94,333970
95,341090
96,348280
97,355540
98,362880
99,370300
100,377790
